,NAME,GEO_ID,S1901_C01_012E,S1501_C02_015E,S1701_C03_001E,state,place
359,"South Gate city, California",1600000US0673080,52321,9.4,17.2,06,73080
360,"South Pasadena city, California",1600000US0673220,104308,67.4,7.6,06,73220
361,"West Covina city, California",1600000US0684200,82938,29.0,8.3,06,84200
362,"West Hollywood city, California",1600000US0684410,74044,62.2,11.7,06,84410
363,"Garden Grove city, California",1600000US0629000,69278,22.3,14.0,06,29000
364,"Laguna Niguel city, California",1600000US0639248,108537,53.6,7.2,06,39248
365,"Yorba Linda city, California",1600000US0686832,129995,54.1,4.5,06,86832
366,"Challenge-Brownsville CDP, California",1600000US0612612,59802,17.3,3.6,06,12612
367,"Linda CDP, California",1600000US0641572,46373,13.4,21.9,06,41572
368,"Wheatland city, California",1600000US0685012,75066,18.4,5.5,06,85012
369,"Santa Maria city, California",1600000US0669196,63341,13.8,14.5,06,69196
370,"Buellton city, California",1600000US0608758,93099,39.9,2.7,06,08758
371,"Guadalupe city, California",1600000US0631414,50864,9.2,18.0,06,31414
372,"Santa Barbara city, California",1600000US0669070,76606,49.2,12.5,06,69070
373,"Fall River Mills CDP, California",1600000US0623532,41417,20.3,8.6,06,23532
374,"French Gulch CDP, California",1600000US0626056,43583,15.6,9.0,06,26056
375,"Montgomery Creek CDP, California",1600000US0648998,32833,26.6,15.3,06,48998
376,"Shasta Lake city, California",1600000US0671225,48902,14.9,18.7,06,71225
377,"Vincent CDP, California",1600000US0682815,86011,13.8,4.3,06,82815
378,"Temescal Valley CDP, California",1600000US0678138,108934,29.0,4.5,06,78138
379,"Whitewater CDP, California",1600000US0685208,39653,24.3,31.6,06,85208
380,"Pleasure Point CDP, California",1600000US0657825,81853,43.5,8.9,06,57825
381,"Contra Costa Centre CDP, California",1600000US0616090,97684,75.3,7.3,06,16090
382,"Esparto CDP, California",1600000US0622846,75833,22.5,10.0,06,22846
383,"Aptos Hills-Larkin Valley CDP, California",1600000US0602382,112778,41.6,10.6,06,02382
384,"Ben Lomond CDP, California",1600000US0605332,95814,38.9,9.2,06,05332
385,"Capitola city, California",1600000US0611040,71059,34.2,15.9,06,11040
386,"Lanare CDP, California",1600000US0640116,-666666666,0.0,30.1,06,40116
387,"Laton CDP, California",1600000US0640746,30743,1.5,32.0,06,40746
388,"Mendota city, California",1600000US0646828,31237,1.5,40.9,06,46828
389,"Tranquillity CDP, California",1600000US0680266,36103,0.0,11.9,06,80266
390,"Clayton city, California",1600000US0613882,157768,57.8,1.4,06,13882
391,"Concord city, California",1600000US0616000,89564,36.4,9.8,06,16000
392,"Danville town, California",1600000US0617988,160808,68.5,3.4,06,17988
393,"Discovery Bay CDP, California",1600000US0619339,130547,31.7,7.7,06,19339
394,"Pacheco CDP, California",1600000US0654764,72383,29.1,5.4,06,54764
395,"San Ramon city, California",1600000US0668378,160783,70.6,3.7,06,68378
396,"Amador City city, California",1600000US0601514,-666666666,26.7,6.6,06,01514
397,"Sutter Creek city, California",1600000US0677392,45147,25.5,15.1,06,77392
398,"Clio CDP, California",1600000US0614106,-666666666,49.1,0.0,06,14106
399,"C-Road CDP, California",1600000US0617267,-666666666,23.6,0.0,06,17267
400,"East Shore CDP, California",1600000US0621138,71250,31.3,3.9,06,21138
401,"Greenhorn CDP, California",1600000US0631029,50536,33.3,13.3,06,31029
402,"Anderson city, California",1600000US0602042,42649,12.6,17.2,06,02042
403,"Redding city, California",1600000US0659920,54278,25.7,17.5,06,59920
404,"Diamond Springs CDP, California",1600000US0619220,62370,22.2,4.9,06,19220
405,"Placerville city, California",1600000US0657540,59247,25.3,16.8,06,57540
406,"Pollock Pines CDP, California",1600000US0658030,64216,27.1,22.1,06,58030
407,"Jackson city, California",1600000US0636980,53462,18.0,11.2,06,36980
408,"Plymouth city, California",1600000US0657834,64375,11.5,10.6,06,57834
409,"Bishop city, California",1600000US0606798,62067,38.5,6.6,06,06798
410,"Darwin CDP, California",1600000US0618030,-666666666,22.0,0.0,06,18030
411,"Lone Pine CDP, California",1600000US0642580,46146,17.1,15.4,06,42580
412,"Mesa CDP, California",1600000US0647013,79750,34.4,10.3,06,47013
413,"Caribou CDP, California",1600000US0611166,-666666666,-666666666.0,-666666666.0,06,11166
414,"Chester CDP, California",1600000US0612930,57125,15.9,10.5,06,12930
415,"Hamilton Branch CDP, California",1600000US0631883,57250,24.4,12.9,06,31883
416,"Lake Davis CDP, California",1600000US0639483,-666666666,38.5,0.0,06,39483
417,"Spring Garden CDP, California",1600000US0673654,-666666666,0.0,0.0,06,73654
418,"Whitehawk CDP, California",1600000US0685086,-666666666,38.8,0.0,06,85086
419,"Manteca city, California",1600000US0645484,72867,16.7,11.4,06,45484
420,"Ripon city, California",1600000US0661026,84313,23.8,10.2,06,61026
421,"Taft Mosswood CDP, California",1600000US0677595,57137,8.1,15.6,06,77595
422,"Raisin City CDP, California",1600000US0659290,47500,5.2,33.3,06,59290
423,"San Jose city, California",1600000US0668000,109593,43.7,8.7,06,68000
424,"San Martin CDP, California",1600000US0668238,116172,22.3,7.0,06,68238
425,"San Francisco city, California",1600000US0667000,112449,58.1,10.3,06,67000
426,"Santa Clara city, California",1600000US0669084,126006,59.9,6.7,06,69084
427,"Bonita CDP, California",1600000US0607414,99427,40.4,4.5,06,07414
428,"Harbison Canyon CDP, California",1600000US0632044,81129,25.5,8.0,06,32044
429,"Julian CDP, California",1600000US0637582,66169,18.9,5.5,06,37582
430,"Pine Valley CDP, California",1600000US0657260,108721,31.9,3.4,06,57260
431,"Ramona CDP, California",1600000US0659346,84289,21.9,6.2,06,59346
432,"Santee city, California",1600000US0670224,87098,29.5,7.3,06,70224
433,"Vista city, California",1600000US0682996,72125,23.9,12.4,06,82996
434,"Winter Gardens CDP, California",1600000US0685992,69063,18.1,11.2,06,85992
435,"El Verano CDP, California",1600000US0622510,107593,33.6,2.6,06,22510
436,"Kentfield CDP, California",1600000US0638114,214081,80.2,5.0,06,38114
437,"Teviston CDP, California",1600000US0678336,30875,4.5,35.2,06,78336
438,"Thermal CDP, California",1600000US0678456,30433,0.0,32.6,06,78456
439,"Thornton CDP, California",1600000US0678568,29141,2.3,32.4,06,78568
440,"Three Rocks CDP, California",1600000US0678652,-666666666,0.0,9.6,06,78652
441,"University of California-Merced CDP, California",1600000US0681312,-666666666,-666666666.0,-666666666.0,06,81312
442,"Timber Cove CDP, California",1600000US0678715,64167,53.5,7.8,06,78715
443,"Tonyville CDP, California",1600000US0678932,25765,0.0,62.9,06,78932
444,"Tooleville CDP, California",1600000US0678949,-666666666,0.0,85.6,06,78949
445,"Topanga CDP, California",1600000US0678960,128546,68.6,5.2,06,78960
446,"Topaz CDP, California",1600000US0679030,-666666666,0.0,0.0,06,79030
447,"Tres Pinos CDP, California",1600000US0680364,103250,24.1,5.0,06,80364
448,"Trinity Center CDP, California",1600000US0680476,34107,15.5,3.9,06,80476
449,"Trinity Village CDP, California",1600000US0680483,33784,13.7,19.8,06,80483
450,"Trona CDP, California",1600000US0680515,-666666666,0.0,0.0,06,80515
451,"Trowbridge CDP, California",1600000US0680560,103125,10.0,7.5,06,80560
452,"Tuttle CDP, California",1600000US0680882,-666666666,0.0,0.0,06,80882
453,"Tuttletown CDP, California",1600000US0680896,46750,17.9,12.3,06,80896
454,"Valley Ford CDP, California",1600000US0681778,-666666666,0.0,29.4,06,81778
455,"Valley Home CDP, California",1600000US0681792,-666666666,12.9,23.2,06,81792
456,"Valley Wells CDP, California",1600000US0681925,-666666666,-666666666.0,-666666666.0,06,81925
457,"Verdi CDP, California",1600000US0682334,109342,16.9,0.0,06,82334
458,"Victor CDP, California",1600000US0682562,-666666666,0.0,4.7,06,82562
459,"Vina CDP, California",1600000US0682786,61125,54.0,21.7,06,82786
460,"Vista Santa Rosa CDP, California",1600000US0683085,39805,7.0,20.3,06,83085
461,"Volcano CDP, California",1600000US0683094,-666666666,0.0,0.0,06,83094
462,"Volta CDP, California",1600000US0683108,41186,0.0,0.0,06,83108
463,"Walker CDP, California",1600000US0683262,62634,12.9,14.7,06,83262
464,"Warm Springs CDP, California",1600000US0683460,50931,2.4,27.5,06,83460
465,"Bell Gardens city, California",1600000US0604996,42223,5.4,28.3,06,04996
466,"Beverly Hills city, California",1600000US0606308,106936,63.2,8.3,06,06308
467,"Covina city, California",1600000US0616742,70780,25.9,9.0,06,16742
468,"Del Aire CDP, California",1600000US0618352,103697,40.0,7.2,06,18352
469,"Downey city, California",1600000US0619766,75878,23.4,8.8,06,19766
470,"Glendale city, California",1600000US0630000,66130,40.5,13.5,06,30000
471,"Manhattan Beach city, California",1600000US0645400,153023,75.2,3.2,06,45400
472,"Maywood city, California",1600000US0646492,44241,5.7,24.0,06,46492
473,"Monrovia city, California",1600000US0648648,77111,37.4,7.8,06,48648
474,"Palmdale city, California",1600000US0655156,62865,15.5,15.6,06,55156
475,"Quartz Hill CDP, California",1600000US0659052,74071,21.8,13.4,06,59052
476,"Redondo Beach city, California",1600000US0660018,113499,60.8,3.9,06,60018
477,"San Marino city, California",1600000US0668224,166607,78.1,6.7,06,68224
478,"Santa Fe Springs city, California",1600000US0669154,68685,19.1,12.4,06,69154
479,"Sierra Madre city, California",1600000US0671806,100988,60.8,6.3,06,71806
480,"Needles city, California",1600000US0650734,33717,12.5,25.9,06,50734
481,"Redlands city, California",1600000US0659962,74839,41.8,11.2,06,59962
482,"Searles Valley CDP, California",1600000US0670728,36806,10.5,24.8,06,70728
483,"Nevada City city, California",1600000US0650874,42059,35.3,21.8,06,50874
484,"Kelseyville CDP, California",1600000US0638044,42418,14.0,16.2,06,38044
485,"Alta Sierra CDP, California",1600000US0601360,85758,32.1,4.7,06,01360
486,"Lake Wildwood CDP, California",1600000US0639885,71384,36.2,7.8,06,39885
487,"McKinleyville CDP, California",1600000US0644910,54614,34.1,17.3,06,44910
488,"Lake of the Woods CDP, California",1600000US0639696,45774,17.2,10.5,06,39696
489,"Lebec CDP, California",1600000US0640956,43594,20.5,14.1,06,40956
490,"Mettler CDP, California",1600000US0647164,58438,3.6,17.2,06,47164
491,"Mountain Mesa CDP, California",1600000US0649600,38175,19.4,29.5,06,49600
492,"Onyx CDP, California",1600000US0653910,34468,19.7,25.1,06,53910
493,"Randsburg CDP, California",1600000US0659668,20865,6.4,25.6,06,59668
494,"Rosamond CDP, California",1600000US0662826,61807,18.3,17.3,06,62826
495,"Stallion Springs CDP, California",1600000US0673868,51475,13.1,18.2,06,73868
496,"Wasco city, California",1600000US0683542,39250,3.5,21.5,06,83542
497,"Camarillo city, California",1600000US0610046,93512,41.7,7.8,06,10046
498,"Casa Conejo CDP, California",1600000US0611656,107045,32.1,4.4,06,11656
499,"Moorpark city, California",1600000US0649138,107820,44.7,4.4,06,49138
500,"Simi Valley city, California",1600000US0672016,99151,33.6,6.4,06,72016
501,"Thousand Oaks city, California",1600000US0678582,109378,50.8,5.2,06,78582
502,"Lake Elsinore city, California",1600000US0639486,71476,19.6,14.5,06,39486
503,"La Quinta city, California",1600000US0640354,77839,36.2,11.2,06,40354
504,"Palm Springs city, California",1600000US0655254,53441,39.9,17.3,06,55254
505,"Reedley city, California",1600000US0660242,46490,12.7,21.1,06,60242
506,"Malaga CDP, California",1600000US0645232,42232,6.3,24.0,06,45232
507,"Angels city, California",1600000US0602112,53622,26.1,12.6,06,02112
508,"Foresthill CDP, California",1600000US0624834,53164,13.2,17.1,06,24834
509,"Granite Bay CDP, California",1600000US0630693,143401,55.9,4.1,06,30693
510,"Loomis town, California",1600000US0643140,83162,33.8,5.7,06,43140
511,"Day Valley CDP, California",1600000US0618153,123382,58.1,3.7,06,18153
512,"Del Rio CDP, California",1600000US0618695,119000,49.8,6.4,06,18695
513,"Empire CDP, California",1600000US0622622,38477,4.1,31.3,06,22622
514,"Three Rivers CDP, California",1600000US0678638,72904,50.8,9.6,06,78638
515,"Warner Valley CDP, California",1600000US0683494,-666666666,-666666666.0,-666666666.0,06,83494
516,"Washington CDP, California",1600000US0683570,60714,28.6,0.0,06,83570
517,"Waterloo CDP, California",1600000US0683626,85000,30.9,12.2,06,83626
518,"Waukena CDP, California",1600000US0683724,64375,7.3,7.4,06,83724
519,"Wawona CDP, California",1600000US0683766,-666666666,10.7,0.0,06,83766
520,"Weott CDP, California",1600000US0684004,32344,34.1,0.0,06,84004
521,"West Goshen CDP, California",1600000US0684345,28480,2.9,56.7,06,84345
522,"West Park CDP, California",1600000US0684680,58929,7.3,23.7,06,84680
523,"West Rancho Dominguez CDP, California",1600000US0684780,60155,11.9,17.1,06,84780
524,"Whitley Gardens CDP, California",1600000US0685222,-666666666,16.0,0.0,06,85222
525,"Wilsonia CDP, California",1600000US0685866,-666666666,-666666666.0,-666666666.0,06,85866
526,"Woodbridge CDP, California",1600000US0686230,93304,32.5,6.3,06,86230
527,"Charter Oak CDP, California",1600000US0612734,74503,27.0,11.8,06,12734
528,"Cudahy city, California",1600000US0617498,46642,6.6,26.2,06,17498
529,"Florence-Graham CDP, California",1600000US0624477,44328,5.5,24.9,06,24477
530,"Gardena city, California",1600000US0628168,58447,25.4,13.7,06,28168
531,"Hawthorne city, California",1600000US0632548,54215,22.3,15.4,06,32548
532,"Hermosa Beach city, California",1600000US0633364,136702,75.7,4.5,06,33364
533,"Patterson city, California",1600000US0656112,69233,10.3,12.1,06,56112
534,"Riverbank city, California",1600000US0661068,70549,13.9,11.1,06,61068
535,"Orangevale CDP, California",1600000US0654092,81801,31.2,7.5,06,54092
536,"McFarland city, California",1600000US0644826,35346,3.4,32.4,06,44826
537,"Tehachapi city, California",1600000US0678092,54083,12.8,14.6,06,78092
538,"Woodlands CDP, California",1600000US0686380,134054,65.9,1.0,06,86380
539,"Yankee Hill CDP, California",1600000US0686678,45417,32.0,25.1,06,86678
540,"Yettem CDP, California",1600000US0686734,37463,0.0,48.4,06,86734
541,"Yolo CDP, California",1600000US0686804,-666666666,21.2,4.7,06,86804
542,"Zayante CDP, California",1600000US0687090,105174,27.6,15.1,06,87090
543,"Beckwourth CDP, California",1600000US0604772,99224,14.7,5.6,06,04772
544,"Montara CDP, California",1600000US0648760,93167,53.4,5.3,06,48760
545,"San Anselmo town, California",1600000US0664434,128212,73.3,2.9,06,64434
546,"Yosemite Lakes CDP, California",1600000US0686878,74607,27.5,9.9,06,86878
547,"Rancho Mirage city, California",1600000US0659500,78682,45.1,11.6,06,59500
548,"Chula Vista city, California",1600000US0613392,81272,29.4,9.6,06,13392
549,"Hidden Meadows CDP, California",1600000US0633532,99750,49.7,4.3,06,33532
550,"Jamul CDP, California",1600000US0637120,117971,43.3,5.2,06,37120
551,"La Mesa city, California",1600000US0640004,66051,37.7,12.6,06,40004
552,"Aromas CDP, California",1600000US0602812,109413,30.4,4.8,06,02812
553,"Boronda CDP, California",1600000US0607578,47383,15.0,12.9,06,07578
554,"Gonzales city, California",1600000US0630392,65527,9.5,10.1,06,30392
555,"Marina city, California",1600000US0645778,64258,28.9,12.8,06,45778
556,"Pajaro CDP, California",1600000US0655044,53625,4.9,10.9,06,55044
557,"Vacaville city, California",1600000US0681554,87823,23.6,7.4,06,81554
558,"Mesa Vista CDP, California",1600000US0647086,110083,31.0,1.3,06,47086
559,"Cayucos CDP, California",1600000US0612132,64246,37.4,15.6,06,12132
560,"Templeton CDP, California",1600000US0678162,82237,37.7,4.8,06,78162
561,"Dunsmuir city, California",1600000US0620242,34872,22.5,18.4,06,20242
562,"Greenview CDP, California",1600000US0631134,-666666666,0.0,27.9,06,31134
563,"Macdoel CDP, California",1600000US0644812,-666666666,44.8,0.0,06,44812
564,"Weed city, California",1600000US0683850,27227,11.6,31.9,06,83850
565,"West Modesto CDP, California",1600000US0684578,37731,5.3,30.1,06,84578
566,"Dinuba city, California",1600000US0619318,44289,8.8,26.4,06,19318
567,"Lemon Cove CDP, California",1600000US0641110,68750,43.7,0.0,06,41110
568,"Traver CDP, California",1600000US0680280,44375,0.5,29.3,06,80280
569,"Woodlake city, California",1600000US0686300,40087,10.3,35.6,06,86300
570,"American Canyon city, California",1600000US0601640,101792,29.8,7.8,06,01640
571,"Folsom city, California",1600000US0624638,114405,51.2,5.6,06,24638
572,"Sacramento city, California",1600000US0664000,62335,33.1,16.6,06,64000
573,"Walnut Grove CDP, California",1600000US0683374,57600,22.7,4.8,06,83374
574,"Avery CDP, California",1600000US0603316,74861,25.2,4.6,06,03316
575,"Valley Springs CDP, California",1600000US0681890,68898,13.7,7.5,06,81890
576,"Watsonville city, California",1600000US0683668,55470,12.3,14.8,06,83668
577,"Earlimart CDP, California",1600000US0620438,31706,2.0,32.1,06,20438
578,"East Orosi CDP, California",1600000US0620942,42292,0.0,46.0,06,20942
579,"Cambrian Park CDP, California",1600000US0610088,176964,56.3,2.2,06,10088
580,"Campbell city, California",1600000US0610345,124525,54.0,6.3,06,10345
581,"Cupertino city, California",1600000US0617610,171917,78.8,6.0,06,17610
582,"Gilroy city, California",1600000US0629504,101616,27.7,8.6,06,29504
583,"Larkfield-Wikiup CDP, California",1600000US0640426,78852,32.9,7.8,06,40426
584,"Chino Hills city, California",1600000US0613214,106347,46.7,6.0,06,13214
585,"Fontana city, California",1600000US0624680,72918,18.1,13.0,06,24680
586,"Rancho Cucamonga city, California",1600000US0659451,90953,35.3,7.9,06,59451
587,"Upland city, California",1600000US0681344,72782,32.4,12.5,06,81344
588,"Mono Vista CDP, California",1600000US0648641,80651,19.9,8.2,06,48641
589,"East Quincy CDP, California",1600000US0621026,48692,9.3,7.7,06,21026
590,"Johnsville CDP, California",1600000US0637512,-666666666,-666666666.0,-666666666.0,06,37512
591,"Keddie CDP, California",1600000US0637904,117667,90.6,0.0,06,37904
592,"Madera Acres CDP, California",1600000US0645050,88482,13.8,7.7,06,45050
593,"Parkwood CDP, California",1600000US0655842,-666666666,10.1,14.8,06,55842
594,"Mokelumne Hill CDP, California",1600000US0648480,44939,22.5,38.8,06,48480
595,"Rail Road Flat CDP, California",1600000US0659220,50781,11.4,17.3,06,59220
596,"East Sonora CDP, California",1600000US0621188,42383,25.5,4.3,06,21188
597,"North Edwards CDP, California",1600000US0651812,35417,9.4,28.0,06,51812
598,"Fellows CDP, California",1600000US0623812,53750,2.9,0.0,06,23812
599,"Maricopa city, California",1600000US0645736,35893,3.4,25.1,06,45736
600,"Ridgecrest city, California",1600000US0660704,69577,28.4,12.7,06,60704
601,"Tupman CDP, California",1600000US0680784,-666666666,18.3,25.0,06,80784
602,"Weldon CDP, California",1600000US0683948,35574,12.4,45.0,06,83948
603,"Meiners Oaks CDP, California",1600000US0646702,84257,36.4,3.3,06,46702
604,"Oak View CDP, California",1600000US0653182,82500,32.3,4.2,06,53182
605,"Piru CDP, California",1600000US0657372,47216,8.2,18.7,06,57372
606,"Blue Lake city, California",1600000US0607162,53929,36.6,16.1,06,07162
607,"Cutten CDP, California",1600000US0617722,64167,54.1,9.0,06,17722
608,"Ferndale city, California",1600000US0623910,50897,31.9,13.5,06,23910
609,"Hydesville CDP, California",1600000US0636126,58500,18.4,17.2,06,36126
610,"Antioch city, California",1600000US0602252,76601,20.9,13.9,06,02252
611,"Clyde CDP, California",1600000US0614232,82944,20.8,17.0,06,14232
612,"Kensington CDP, California",1600000US0638086,146563,85.3,5.4,06,38086
613,"Knightsen CDP, California",1600000US0638772,104375,18.7,9.7,06,38772
614,"Orinda city, California",1600000US0654232,223217,82.6,3.1,06,54232
615,"Lake Isabella CDP, California",1600000US0639570,35500,9.6,25.2,06,39570
616,"Bear Valley CDP (Mariposa County), California",1600000US0604730,64400,16.1,0.0,06,04730
617,"Bella Vista CDP, California",1600000US0604926,64258,19.7,13.1,06,04926
618,"Big Creek CDP, California",1600000US0606518,90750,37.8,0.0,06,06518
619,"Big Lagoon CDP, California",1600000US0606567,64167,61.5,7.0,06,06567
620,"Blackhawk CDP, California",1600000US0606928,214754,70.1,3.2,06,06928
621,"Blacklake CDP, California",1600000US0606935,83203,54.7,0.0,06,06935
622,"Boonville CDP, California",1600000US0607512,51346,20.0,8.8,06,07512
623,"Torrance city, California",1600000US0680000,93492,50.7,6.9,06,80000
624,"San Andreas CDP, California",1600000US0664420,39225,10.0,32.9,06,64420
625,"San Rafael city, California",1600000US0668364,91742,52.2,12.2,06,68364
626,"Santa Venetia CDP, California",1600000US0670154,93194,49.0,2.1,06,70154
627,"Sausalito city, California",1600000US0670364,111906,68.5,4.8,06,70364
628,"Stinson Beach CDP, California",1600000US0674172,122721,58.4,5.5,06,74172
629,"Bootjack CDP, California",1600000US0607525,45606,25.5,23.5,06,07525
630,"Hayfork CDP, California",1600000US0632562,34056,13.4,14.2,06,32562
631,"Lewiston CDP, California",1600000US0641278,40096,16.3,25.7,06,41278
632,"Beaumont city, California",1600000US0604758,84105,26.1,10.5,06,04758
633,"Bermuda Dunes CDP, California",1600000US0606028,59860,27.9,12.4,06,06028
634,"Rocklin city, California",1600000US0662364,98566,46.4,5.6,06,62364
635,"Grayson CDP, California",1600000US0630882,59688,2.1,12.0,06,30882
636,"Keyes CDP, California",1600000US0638422,51494,6.1,23.4,06,38422
637,"Corcoran city, California",1600000US0616224,40159,3.6,30.7,06,16224
638,"Stratford CDP, California",1600000US0675252,50962,4.9,20.3,06,75252
639,"Laguna Hills city, California",1600000US0639220,100985,50.5,8.3,06,39220
640,"Alpaugh CDP, California",1600000US0601164,33125,0.0,41.2,06,01164
641,"Farmersville city, California",1600000US0623616,39720,3.3,28.9,06,23616
642,"Strathmore CDP, California",1600000US0675280,25500,6.4,60.1,06,75280
643,"Visalia city, California",1600000US0682954,62263,23.1,16.2,06,82954
644,"Laguna Woods city, California",1600000US0639259,44020,49.3,11.5,06,39259
645,"La Habra city, California",1600000US0639290,79325,28.5,11.9,06,39290
646,"London CDP, California",1600000US0642566,32361,2.6,47.9,06,42566
647,"Felton CDP, California",1600000US0623826,109100,56.1,3.1,06,23826
648,"Twin Lakes CDP, California",1600000US0681050,53508,41.8,21.1,06,81050
649,"Bret Harte CDP, California",1600000US0608172,37526,1.3,29.1,06,08172
650,"Modesto city, California",1600000US0648354,59287,18.7,15.2,06,48354
651,"Salida CDP, California",1600000US0664210,82745,14.7,8.7,06,64210
652,"Turlock city, California",1600000US0680812,59681,25.1,15.5,06,80812
653,"Westley CDP, California",1600000US0684480,39073,0.0,4.9,06,84480
654,"Rio Linda CDP, California",1600000US0660942,70825,13.7,15.5,06,60942
655,"Hickman CDP, California",1600000US0633504,54028,10.2,14.2,06,33504
656,"Hughson city, California",1600000US0634904,79455,22.0,6.7,06,34904
657,"Cutler CDP, California",1600000US0617708,39646,1.3,29.2,06,17708
658,"Goshen CDP, California",1600000US0630476,27286,4.2,41.6,06,30476
659,"Springville CDP, California",1600000US0673710,-666666666,14.5,51.6,06,73710
660,"Kings Beach CDP, California",1600000US0638548,49485,27.5,12.7,06,38548
661,"Lincoln city, California",1600000US0641474,88734,34.2,7.9,06,41474
662,"North Auburn CDP, California",1600000US0651637,60308,24.0,13.2,06,51637
663,"Bluewater CDP, California",1600000US0607172,31000,8.8,16.0,06,07172
664,"Rialto city, California",1600000US0660466,61518,11.1,16.2,06,60466
665,"Wrightwood CDP, California",1600000US0686594,64841,34.2,12.4,06,86594
666,"Orcutt CDP, California",1600000US0654120,91343,29.9,6.5,06,54120
667,"Santa Ynez CDP, California",1600000US0670182,107588,31.5,10.5,06,70182
668,"Carmichael CDP, California",1600000US0611390,64710,33.5,13.2,06,11390
669,"Florin CDP, California",1600000US0624498,44618,13.4,25.0,06,24498
670,"Vineyard CDP, California",1600000US0682852,94939,29.8,9.1,06,82852
671,"Potter Valley CDP, California",1600000US0658506,74236,14.7,10.8,06,58506
672,"Princeton CDP, California",1600000US0658758,48611,7.8,29.6,06,58758
673,"Proberta CDP, California",1600000US0658814,-666666666,0.0,0.0,06,58814
674,"Rackerby CDP, California",1600000US0659115,-666666666,13.3,50.5,06,59115
675,"Red Corral CDP, California",1600000US0659896,112614,9.7,5.8,06,59896
676,"Redcrest CDP, California",1600000US0659906,-666666666,0.0,0.0,06,59906
677,"Redwood Valley CDP, California",1600000US0660214,67188,25.7,2.9,06,60214
678,"Reliez Valley CDP, California",1600000US0660279,173507,68.0,2.0,06,60279
679,"Richfield CDP, California",1600000US0660592,71667,26.4,12.0,06,60592
680,"Richvale CDP, California",1600000US0660662,-666666666,47.5,0.0,06,60662
681,"Rio Oso CDP, California",1600000US0660970,118333,34.1,1.2,06,60970
682,"Ripley CDP, California",1600000US0661012,21103,0.0,26.1,06,61012
683,"River Pines CDP, California",1600000US0661124,40670,0.0,0.0,06,61124
684,"Robbins CDP, California",1600000US0662168,49659,9.0,27.1,06,62168
685,"Robinson Mill CDP, California",1600000US0662200,-666666666,0.0,69.8,06,62200
686,"Rodriguez Camp CDP, California",1600000US0662496,-666666666,0.0,90.1,06,62496
687,"Rolling Hills CDP, California",1600000US0662625,108571,40.7,0.0,06,62625
688,"Rose Hills CDP, California",1600000US0662860,101364,41.5,6.2,06,62860
689,"Rough and Ready CDP, California",1600000US0663106,-666666666,10.5,34.1,06,63106
690,"Rouse CDP, California",1600000US0663168,48125,4.2,24.3,06,63168
691,"Ruth CDP, California",1600000US0663386,30208,7.1,28.2,06,63386
692,"Rutherford CDP, California",1600000US0663400,99375,33.3,0.0,06,63400
693,"Salmon Creek CDP, California",1600000US0664252,-666666666,100.0,0.0,06,64252
694,"Samoa CDP, California",1600000US0664392,41094,18.8,27.4,06,64392
695,"San Miguel CDP (Contra Costa County), California",1600000US0668263,172073,67.6,2.2,06,68263
696,"Seal Beach city, California",1600000US0670686,68852,49.0,5.7,06,70686
697,"Villa Park city, California",1600000US0682744,165000,54.8,6.5,06,82744
698,"Meadow Vista CDP, California",1600000US0646632,92411,35.5,4.3,06,46632
699,"Hayward city, California",1600000US0633000,86744,27.7,8.4,06,33000
700,"Livermore city, California",1600000US0641992,127452,44.0,4.5,06,41992
701,"Lemon Grove city, California",1600000US0641124,63548,18.9,12.5,06,41124
702,"Fetters Hot Springs-Agua Caliente CDP, California",1600000US0623973,72396,25.2,11.8,06,23973
703,"Healdsburg city, California",1600000US0633056,96016,43.7,5.8,06,33056
704,"Petaluma city, California",1600000US0656784,91528,40.4,6.7,06,56784
705,"Mineral CDP, California",1600000US0647794,48859,22.4,2.8,06,47794
706,"Red Bluff city, California",1600000US0659892,31450,10.4,30.3,06,59892
707,"Laytonville CDP, California",1600000US0640928,37076,24.5,18.7,06,40928
708,"Hollister city, California",1600000US0634120,80629,15.0,9.8,06,34120
709,"Artesia city, California",1600000US0602896,67647,28.1,8.7,06,02896
710,"Azusa city, California",1600000US0603386,68216,24.0,14.2,06,03386
711,"Baldwin Park city, California",1600000US0603666,65904,13.2,13.4,06,03666
712,"Cerritos city, California",1600000US0612552,106190,52.9,4.9,06,12552
713,"Commerce city, California",1600000US0614974,47518,11.5,14.8,06,14974
714,"Hidden Hills city, California",1600000US0633518,246042,70.1,5.4,06,33518
715,"Industry city, California",1600000US0636490,89583,14.5,5.5,06,36490
716,"Inglewood city, California",1600000US0636546,54400,21.2,16.8,06,36546
717,"Lennox CDP, California",1600000US0641180,49316,9.1,20.2,06,41180
718,"Canyondam CDP, California",1600000US0610914,-666666666,-666666666.0,-666666666.0,06,10914
719,"Crescent Mills CDP, California",1600000US0617050,-666666666,35.5,46.2,06,17050
720,"La Porte CDP, California",1600000US0640312,-666666666,-666666666.0,-666666666.0,06,40312
721,"Little Grass Valley CDP, California",1600000US0641789,-666666666,-666666666.0,-666666666.0,06,41789
722,"Mohawk Vista CDP, California",1600000US0648448,-666666666,18.5,0.0,06,48448
723,"Chinese Camp CDP, California",1600000US0613182,-666666666,0.0,0.0,06,13182
724,"West Puente Valley CDP, California",1600000US0684774,75856,13.1,10.2,06,84774
725,"Colusa city, California",1600000US0614946,51364,17.2,11.5,06,14946
