,NAME,GEO_ID,S1901_C01_012E,S1501_C02_015E,S1701_C03_001E,state,place
82,"Casa de Oro-Mount Helix CDP, California",1600000US0611691,100097,44.9,8.9,06,11691
83,"San Diego city, California",1600000US0666000,79673,45.9,12.8,06,66000
84,"Bradley CDP, California",1600000US0607974,58750,4.3,0.0,06,07974
85,"King City city, California",1600000US0638520,49375,4.1,18.6,06,38520
86,"Salinas city, California",1600000US0664224,61527,13.3,16.8,06,64224
87,"Fairfield city, California",1600000US0623182,84557,28.3,8.6,06,23182
88,"Alpine Village CDP, California",1600000US0601228,58750,22.5,14.9,06,01228
89,"Jenner CDP, California",1600000US0637274,26324,56.7,0.0,06,37274
90,"Johnstonville CDP, California",1600000US0637484,75781,17.3,7.3,06,37484
91,"Junction City CDP, California",1600000US0637596,53952,24.3,8.3,06,37596
92,"June Lake CDP, California",1600000US0637624,-666666666,22.8,14.4,06,37624
93,"Kelly Ridge CDP, California",1600000US0638024,49458,14.3,9.6,06,38024
94,"Kennedy Meadows CDP, California",1600000US0638076,-666666666,-666666666.0,-666666666.0,06,38076
95,"Kenwood CDP, California",1600000US0638156,74792,68.6,10.3,06,38156
96,"Big Bend CDP, California",1600000US0606475,22500,14.9,40.5,06,06475
97,"Palo Cedro CDP, California",1600000US0655296,74931,27.3,6.9,06,55296
98,"Cobb CDP, California",1600000US0614302,78833,21.3,5.3,06,14302
99,"Myrtletown CDP, California",1600000US0650188,59330,22.7,18.3,06,50188
100,"Pine Hills CDP, California",1600000US0657204,56154,26.5,18.7,06,57204
101,"Weaverville CDP, California",1600000US0683794,46212,21.2,18.3,06,83794
102,"Desert Hot Springs city, California",1600000US0618996,33046,12.4,31.1,06,18996
103,"Friant CDP, California",1600000US0627014,56154,13.7,17.1,06,27014
104,"Sunol CDP, California",1600000US0677042,129231,44.2,9.7,06,77042
105,"Union City city, California",1600000US0681204,114681,40.4,5.0,06,81204
106,"Caruthers CDP, California",1600000US0611614,50733,13.9,16.7,06,11614
107,"Riverdale CDP, California",1600000US0661096,55833,10.3,26.4,06,61096
108,"Selma city, California",1600000US0670882,40815,9.5,24.4,06,70882
109,"Desert Palms CDP, California",1600000US0619022,60221,42.2,7.0,06,19022
110,"Diablo Grande CDP, California",1600000US0619155,102458,26.5,1.1,06,19155
111,"Dobbins CDP, California",1600000US0619416,-666666666,7.5,42.2,06,19416
112,"Dogtown CDP, California",1600000US0619440,90500,17.7,9.4,06,19440
113,"Dos Palos Y CDP, California",1600000US0619654,16628,0.0,29.7,06,19654
114,"Douglas City CDP, California",1600000US0619724,42063,15.5,38.0,06,19724
115,"Downieville CDP, California",1600000US0619794,93533,29.6,0.0,06,19794
116,"Talmage CDP, California",1600000US0677784,29438,38.3,33.8,06,77784
117,"Home Garden CDP, California",1600000US0634281,37313,1.1,26.7,06,34281
118,"Guerneville CDP, California",1600000US0631470,64345,34.5,13.1,06,31470
119,"Manton CDP, California",1600000US0645512,39250,13.3,59.4,06,45512
120,"Rancho Tehama Reserve CDP, California",1600000US0659604,26514,4.0,33.2,06,59604
121,"Durham CDP, California",1600000US0620270,83788,38.6,10.3,06,20270
122,"Armona CDP, California",1600000US0602700,48828,9.9,18.5,06,02700
123,"Buena Park city, California",1600000US0608786,78932,30.5,12.3,06,08786
124,"San Leandro city, California",1600000US0668084,78003,31.7,9.6,06,68084
125,"Bowles CDP, California",1600000US0607750,-666666666,18.4,67.1,06,07750
126,"Huron city, California",1600000US0636084,25060,1.1,45.7,06,36084
127,"Sanger city, California",1600000US0667056,48929,12.2,26.7,06,67056
128,"Alhambra city, California",1600000US0600884,61384,35.5,12.7,06,00884
129,"Bradbury city, California",1600000US0607946,146250,54.4,5.5,06,07946
130,"Blythe city, California",1600000US0607218,45385,7.8,25.5,06,07218
131,"Woodside town, California",1600000US0686440,250001,78.7,4.5,06,86440
132,"Buttonwillow CDP, California",1600000US0609332,38333,3.8,37.8,06,09332
133,"Banning city, California",1600000US0603820,42274,15.3,20.6,06,03820
134,"Calimesa city, California",1600000US0609864,56903,18.9,10.1,06,09864
135,"Home Gardens CDP, California",1600000US0634302,67985,12.5,15.5,06,34302
136,"Brawley city, California",1600000US0608058,42326,11.7,33.8,06,08058
137,"El Centro city, California",1600000US0621782,47864,17.8,24.8,06,21782
138,"Holtville city, California",1600000US0634246,46161,10.9,25.1,06,34246
139,"Imperial city, California",1600000US0636280,85654,23.1,7.6,06,36280
140,"Lucerne CDP, California",1600000US0644406,44972,19.6,12.7,06,44406
141,"North Lakeport CDP, California",1600000US0651990,45785,22.0,19.1,06,51990
142,"Lake of the Pines CDP, California",1600000US0639690,89214,45.8,2.4,06,39690
143,"Truckee town, California",1600000US0680588,97092,51.9,9.2,06,80588
144,"Dillon Beach CDP, California",1600000US0619262,119706,56.6,0.0,06,19262
145,"Romoland CDP, California",1600000US0662756,54167,8.2,22.9,06,62756
146,"Indio city, California",1600000US0636448,53669,17.2,16.5,06,36448
147,"Murrieta city, California",1600000US0650076,90535,30.3,8.1,06,50076
148,"Thousand Palms CDP, California",1600000US0678596,52697,12.3,12.8,06,78596
149,"Calexico city, California",1600000US0609710,43592,17.8,22.8,06,09710
150,"Desert Shores CDP, California",1600000US0619024,-666666666,17.0,32.2,06,19024
151,"Ocotillo CDP, California",1600000US0653378,-666666666,0.0,37.1,06,53378
152,"Bolinas CDP, California",1600000US0607316,61667,56.3,18.5,06,07316
153,"Corte Madera town, California",1600000US0616462,149439,66.7,3.5,06,16462
154,"Bodfish CDP, California",1600000US0607274,22438,16.1,47.2,06,07274
155,"Delano city, California",1600000US0618394,43641,7.7,22.6,06,18394
156,"Channel Islands Beach CDP, California",1600000US0612669,100038,43.8,9.4,06,12669
157,"Golden Hills CDP, California",1600000US0630282,64862,17.9,8.7,06,30282
158,"Keene CDP, California",1600000US0637946,-666666666,59.8,0.0,06,37946
159,"Kirkwood CDP, California",1600000US0638646,80227,34.3,22.5,06,38646
160,"San Luis Obispo city, California",1600000US0668154,56071,50.0,30.4,06,68154
161,"Edgewood CDP, California",1600000US0621530,81667,31.0,0.0,06,21530
162,"Gazelle CDP, California",1600000US0629252,37500,13.0,5.4,06,29252
163,"Los Gatos town, California",1600000US0644112,155863,69.8,3.8,06,44112
164,"Loyola CDP, California",1600000US0644378,246563,89.4,0.8,06,44378
165,"Stanford CDP, California",1600000US0673906,58906,93.6,20.8,06,73906
166,"Alpine CDP, California",1600000US0601192,87930,35.6,8.7,06,01192
167,"Camp Pendleton North CDP, California",1600000US0610559,54214,36.2,7.9,06,10559
168,"Dorris city, California",1600000US0619584,31318,5.5,25.2,06,19584
169,"Cambria CDP, California",1600000US0610074,70000,40.9,9.6,06,10074
170,"Pismo Beach city, California",1600000US0657414,84484,46.1,8.3,06,57414
171,"Tulelake city, California",1600000US0680686,29886,5.7,47.7,06,80686
172,"Palo Alto city, California",1600000US0655282,158271,82.8,6.1,06,55282
173,"Shafter city, California",1600000US0671106,45854,9.9,23.0,06,71106
174,"Davis city, California",1600000US0618100,69379,73.8,29.8,06,18100
175,"Sierra Brooks CDP, California",1600000US0671774,91042,14.6,11.6,06,71774
176,"Sierra City CDP, California",1600000US0671778,111250,55.6,0.0,06,71778
177,"Sierra Village CDP, California",1600000US0671834,-666666666,54.4,11.2,06,71834
178,"Sierraville CDP, California",1600000US0671848,43438,48.2,21.2,06,71848
179,"Silverado Resort CDP, California",1600000US0671927,173625,63.1,2.8,06,71927
180,"Silver City CDP, California",1600000US0671932,-666666666,-666666666.0,-666666666.0,06,71932
181,"Silver Lakes CDP, California",1600000US0671964,69375,27.5,9.0,06,71964
182,"Sisquoc CDP, California",1600000US0672086,63750,11.8,7.7,06,72086
183,"Sky Valley CDP, California",1600000US0672156,32367,16.3,15.5,06,72156
184,"Sleepy Hollow CDP, California",1600000US0672184,212868,70.3,4.0,06,72184
185,"Smartsville CDP, California",1600000US0672282,44231,0.7,0.7,06,72282
186,"Smith Corner CDP, California",1600000US0672338,65179,0.0,0.0,06,72338
187,"Smith River CDP, California",1600000US0672380,69167,13.6,14.1,06,72380
188,"Snelling CDP, California",1600000US0672408,48889,12.0,4.2,06,72408
189,"Soda Bay CDP, California",1600000US0672478,57175,28.6,6.0,06,72478
190,"Soda Springs CDP, California",1600000US0672492,-666666666,0.0,0.0,06,72492
191,"South Monrovia Island CDP, California",1600000US0673167,63750,17.7,12.9,06,73167
192,"Spaulding CDP, California",1600000US0673554,56750,0.0,7.4,06,73554
193,"Spring Valley CDP (Lake County), California",1600000US0673690,56017,9.8,23.2,06,73690
194,"Spring Valley CDP (San Diego County), California",1600000US0673696,72178,26.4,12.5,06,73696
195,"Spring Valley Lake CDP, California",1600000US0673700,84727,29.2,7.0,06,73700
196,"Stevenson Ranch CDP, California",1600000US0674130,135179,53.7,5.4,06,74130
197,"Stevinson CDP, California",1600000US0674144,-666666666,9.0,38.4,06,74144
198,"Stirling City CDP, California",1600000US0674186,-666666666,7.5,68.4,06,74186
199,"Stonyford CDP, California",1600000US0675154,-666666666,18.0,40.2,06,75154
